,name,x1,x2,y1,y2,classname
0,05738_Mask_Chin.jpg,173,210,550,722,face_mask_correct
1,02004_Mask_Mouth_Chin.jpg,235,164,569,735,face_mask_correct
2,06925_Mask_Mouth_Chin.jpg,247,187,603,725,face_mask_correct
3,05139_Mask_Mouth_Chin.jpg,215,178,601,768,face_mask_correct
4,01818_Mask_Mouth_Chin.jpg,200,141,495,779,face_mask_correct
5,00844_Mask_Mouth_Chin.jpg,189,164,727,815,face_mask_correct
6,04165_Mask_Mouth_Chin.jpg,211,226,602,711,face_mask_correct
7,06615_Mask_Mouth_Chin.jpg,203,182,604,671,face_mask_correct
8,07649_Mask_Mouth_Chin.jpg,204,210,596,692,face_mask_correct
9,00774_Mask_Mouth_Chin.jpg,243,164,605,795,face_mask_correct
10,07159_Mask_Chin.jpg,296,237,554,663,face_mask_correct
11,01795_Mask_Chin.jpg,252,245,525,647,face_mask_correct
12,01728_Mask_Mouth_Chin.jpg,179,165,577,720,face_mask_correct
13,04994_Mask_Mouth_Chin.jpg,169,217,638,697,face_mask_correct
14,00160_Mask_Mouth_Chin.jpg,166,191,558,695,face_mask_correct
15,04841_Mask_Mouth_Chin.jpg,164,129,658,827,face_mask_correct
16,04841_Mask_Mouth_Chin.jpg,133,205,28,32,face_mask_correct
17,02920_Mask_Mouth_Chin.jpg,216,176,575,727,face_mask_correct
18,01424_Mask_Chin.jpg,185,166,524,746,face_mask_correct
19,06001_Mask_Mouth_Chin.jpg,237,197,528,657,face_mask_correct
20,02742_Mask_Nose_Mouth.jpg,202,129,630,754,face_mask_correct
21,04771_Mask_Mouth_Chin.jpg,248,322,563,619,face_mask_correct
22,04771_Mask_Mouth_Chin.jpg,275,876,115,123,face_mask_correct
23,02610_Mask_Mouth_Chin.jpg,250,217,561,646,face_mask_correct
24,06086_Mask_Nose_Mouth.jpg,170,159,645,762,face_mask_correct
25,01779_Mask_Mouth_Chin.jpg,214,183,557,736,face_mask_correct
26,06644_Mask_Mouth_Chin.jpg,169,178,571,709,face_mask_correct
27,06791_Mask_Mouth_Chin.jpg,252,201,543,640,face_mask_correct
28,07618_Mask_Mouth_Chin.jpg,319,203,525,616,face_mask_correct
29,05785_Mask_Chin.jpg,241,139,604,782,face_mask_correct
30,01849_Mask_Mouth_Chin.jpg,206,154,583,727,face_mask_correct
31,05168_Mask_Mouth_Chin.jpg,218,199,592,707,face_mask_correct
32,04134_Mask_Mouth_Chin.jpg,181,178,605,749,face_mask_correct
33,00815_Mask_Mouth_Chin.jpg,182,146,594,786,face_mask_correct
34,02180_Mask_Mouth_Chin.jpg,265,186,627,777,face_mask_correct
35,02180_Mask_Mouth_Chin.jpg,287,106,36,46,face_mask_correct
36,07928_Mask_Mouth_Chin.jpg,241,157,574,740,face_mask_correct
37,06974_Mask_Mouth_Chin.jpg,210,209,580,635,face_mask_correct
38,02055_Mask_Mouth_Chin.jpg,197,205,599,692,face_mask_correct
39,02641_Mask_Mouth_Chin.jpg,247,192,594,729,face_mask_correct
40,07670_Mask_Chin.jpg,199,195,558,677,face_mask_correct
41,02794_Mask_Mouth_Chin.jpg,206,224,563,664,face_mask_correct
42,07720_Mask_Chin.jpg,255,262,468,629,face_mask_correct
43,04720_Mask_Mouth_Chin.jpg,210,204,581,709,face_mask_correct
44,06185_Mask_Mouth_Chin.jpg,266,209,535,628,face_mask_correct
45,06050_Mask_Mouth_Chin.jpg,301,181,587,713,face_mask_correct
46,02971_Mask_Mouth_Chin.jpg,218,186,629,747,face_mask_correct
47,04810_Mask_Mouth_Chin.jpg,279,160,560,746,face_mask_correct
48,00131_Mask_Mouth_Chin.jpg,222,210,574,661,face_mask_correct
49,05999_Mask_Mouth_Chin.jpg,208,206,556,668,face_mask_correct
50,04606_Mask_Mouth_Chin.jpg,243,192,581,699,face_mask_correct
51,04387_Mask_Chin.jpg,227,200,559,697,face_mask_correct
52,02767_Mask_Mouth_Chin.jpg,370,186,552,732,face_mask_correct
53,04681_Mask_Nose_Mouth.jpg,212,209,629,714,face_mask_correct
54,04754_Mask_Nose_Mouth.jpg,253,200,562,692,face_mask_correct
55,04936_Mask_Mouth_Chin.jpg,214,208,565,664,face_mask_correct
56,02982_Mask_Mouth_Chin.jpg,234,169,517,723,face_mask_correct
57,02857_Mask_Mouth_Chin.jpg,299,174,577,753,face_mask_correct
58,06762_Mask_Mouth_Chin.jpg,210,200,616,685,face_mask_correct
59,06762_Mask_Mouth_Chin.jpg,863,531,26,33,face_mask_correct
60,04543_Mask_Chin.jpg,256,276,501,562,face_mask_correct
61,06987_Mask_Mouth_Chin.jpg,189,147,641,786,face_mask_correct
62,02173_Mask_Mouth_Chin.jpg,238,213,556,686,face_mask_correct
63,06852_Mask_Mouth_Chin.jpg,222,141,622,761,face_mask_correct
64,00933_Mask_Mouth_Chin.jpg,260,276,496,544,face_mask_correct
65,04012_Mask_Mouth_Chin.jpg,246,220,518,667,face_mask_correct
66,06127_Mask_Mouth_Chin.jpg,247,196,558,686,face_mask_correct
67,02806_Mask_Mouth_Chin.jpg,267,163,552,695,face_mask_correct
68,00193_Mask_Mouth_Chin.jpg,174,173,551,739,face_mask_correct
69,04967_Mask_Mouth_Chin.jpg,212,181,562,719,face_mask_correct
70,04705_Mask_Nose_Mouth.jpg,384,254,460,547,face_mask_correct
71,02736_Mask_Mouth_Chin.jpg,174,207,523,674,face_mask_correct
72,04657_Mask_Mouth_Chin.jpg,232,214,564,661,face_mask_correct
73,04782_Mask_Mouth_Chin.jpg,206,193,558,674,face_mask_correct
